id,title,isbn,language_code,num_pages,pub_year,total_copies,in_stock
50,Hatchet (Brian's Saga  #1),9780689840920,eng,208,4/1/2000,15,0
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",9781557344496,eng,48,8/28/1994,15,13
53,Guts: The True Stories behind Hatchet and the Brian Books,9780385326506,eng,144,1/23/2001,20,16
54,Molly Hatchet - 5 of the Best,9781575606248,eng,56,6/10/2003,19,12
55,Hatchet Jobs: Writings on Contemporary Fiction,9781595580276,en-US,228,11/1/2005,9,2
57,A Changeling for All Seasons (Changeling Seasons #1),9781595962805,eng,304,11/1/2005,7,1
58,Changeling (Changeling  #1),9780670059676,eng,256,8/17/2006,6,1
59,The Changeling Sea,9780141312620,eng,137,4/14/2003,11,1
61,The Changeling,9780595321803,eng,228,6/8/2004,19,9
63,The Changeling,9781590301944,eng,339,4/12/2005,1,1
66,The Changeling (Daughters of England  #15),9780449146972,eng,369,8/28/1990,11,6
67,The Known World,9780061159176,eng,388,8/29/2006,13,6
68,The Known World,9780060762735,en-US,14,6/15/2004,2,2
69,The Known World,9780060749910,eng,576,6/15/2004,15,2
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,9780273704744,eng,334,5/15/2006,5,1
72,Artesia: Adventures in the Known World,9781932386103,eng,352,12/14/2005,15,6
74,The John McPhee Reader (John McPhee Reader  #1),9780374517199,eng,416,6/1/1982,17,10
75,Uncommon Carriers,9780374280390,en-US,248,5/16/2006,6,6
76,Heirs of General Practice,9780374519742,eng,128,4/1/1986,14,0
77,The Control of Nature,9780374522599,en-US,288,9/1/1990,6,0
78,Annals of the Former World,9780374518738,eng,720,1/6/1999,2,1
79,Coming Into the Country,9780374522872,eng,448,4/1/1991,1,0
80,La Place de la Concorde Suisse,9780374519322,fre,160,4/1/1994,8,1
81,Giving Good Weight,9780374516000,eng,288,4/1/1994,13,9
83,Rising from the Plains,9780374520656,eng,208,11/1/1987,3,2
85,The Heidi Chronicles,9780822205104,eng,81,3/1/2002,2,2
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,9780679734994,eng,249,7/2/1991,1,0
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,9781596670235,eng,138,3/29/2006,19,7
90,Simply Beautiful Beaded Jewelry,9781581807745,en-US,128,3/14/2006,14,4
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,9780800793616,eng,192,9/1/2003,12,11
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,9780871202864,en-US,108,1/28/1997,13,1
93,Heidi (Heidi  #1-2),9780753454947,eng,352,11/15/2002,1,0
94,Getting Results with Curriculum Mapping,9780871209993,eng,192,11/15/2004,19,17
96,There's Always Enough: The Miraculous Move of God in Mozambique,9781852402877,eng,192,4/28/2003,1,1
98,What to Expect the First Year (What to Expect),9780761129585,eng,832,10/16/2003,6,0
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,9780972016414,eng,123,5/10/2004,3,0
100,Simply Beautiful Beading: 53 Quick and Easy Projects,9781581805635,en-US,128,8/19/2004,5,1
103,God Emperor of Dune (Dune Chronicles  #4),9780441294671,eng,423,6/15/1987,20,20
105,Chapterhouse: Dune (Dune Chronicles #6),9780441102679,eng,436,7/1/1987,4,0
106,Dune Messiah (Dune Chronicles #2),9780441172696,eng,331,7/15/1987,16,1
107,Dreamer of Dune: The Biography of Frank Herbert,9780765306470,en-US,592,7/1/2004,17,8
109,Heretics of Dune (Dune Chronicles  #5),9780399128981,eng,480,4/16/1984,12,0
110,The Road to Dune,9780765353702,eng,426,8/29/2006,14,11
117,Heretics of Dune (Dune Chronicles #5),9780441328000,eng,471,8/15/1987,3,0
119,The Lord of the Rings: The Art of the Fellowship of the Ring,9780618212903,eng,192,6/12/2002,10,4
122,The Power of One (The Power of One  #1),9780345410054,eng,544,9/29/1996,3,3
123,The Power of One (The Power of One  #1),9780385732543,eng,291,9/13/2005,6,4
129,The Power of One: One Person  One Rule  One Month,9780785260059,en-US,256,11/1/2004,16,11
130,Power of an Hour: Business and Life Mastery in One Hour a Week,9780471780939,eng,205,5/19/2006,5,3
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,9780325001531,eng,240,2/7/2000,10,2
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,9780060762872,eng,336,5/3/2005,16,13
133,eBay for Dummies,9780470045299,eng,386,10/30/2006,3,2
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,9780072262780,eng,260,1/24/2006,20,14
137,Starting an eBay Business for Dummies,9780764569241,eng,384,9/17/2004,20,19
138,eBay: Top 100 Simplified Tips & Tricks,9780471933823,eng,260,6/6/2006,11,9
139,ebay Timesaving Techniques for Dummies,9780764559914,en-US,391,5/31/2004,7,6
140,eBay Business All-in-One Desk Reference for Dummies,9780764584381,en-US,864,4/25/2005,11,6
141,Ruby Cookbook,9780596523695,eng,873,7/29/2006,20,16
142,Ruby Ann's Down Home Trailer Park Cookbook,9780806523491,eng,240,5/3/2005,6,3
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,9780806525365,eng,206,5/3/2005,19,18
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,9780596527310,eng,514,1/1/2007,12,11
151,Anna Karenina,9780143035008,eng,838,5/31/2004,18,9
152,Anna Karenina,9780451528612,eng,960,11/5/2002,7,0
153,Anna Karenina,9780140449174,eng,837,1/30/2003,17,16
154,CliffsNotes on Tolstoy's Anna Karenina,9780822001836,eng,80,11/26/1965,20,14
155,Anna Karenina,9781593080273,eng,803,7/1/2003,6,2
156,Anna Karenina,9780486437965,eng,752,11/23/2004,6,1
157,Anna Karenina,9781593081775,eng,803,8/26/2004,9,7
159,Dinner with Anna Karenina,9780778322276,eng,360,1/28/2006,3,2
160,Tolstoy: Anna Karenina,9780521313254,eng,128,11/26/1987,14,3
162,Untouchable,9780140183955,eng,160,7/3/1990,6,1
163,The Untouchable,9780679767473,eng,367,6/30/1998,5,1
164,The Untouchables,9781568491981,eng,256,2/1/1996,4,0
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,9780743270793,en-US,320,9/27/2005,14,2
166,Dalit: The Black Untaouchables of India,9780932863058,eng,100,1/28/1995,4,2
168,Growing Up Untouchable in India: A Dalit Autobiography,9780742508804,eng,224,12/20/2000,20,12
171,The Evidence-Based Social Work Skills Book,9780205358625,eng,216,9/22/2003,20,15
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",9781557344038,eng,48,9/28/1991,3,1
180,Wrinkles in Time,9780380720446,eng,360,10/1/1994,5,5
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),9780821925324,eng,250,5/1/2002,17,8
182,Literature Circle Guide: A Wrinkle in Time,9780439271691,eng,32,1/1/2002,20,9
201,Una arruga en el tiempo – A Wrinkle in Time,9780606105262,spa,205,6/1/1984,3,1
204,The Long Shadow (The Morland Dynasty  #6),9780751506433,eng,367,6/1/1994,9,4
205,A Long Shadow (Inspector Ian Rutledge  #8),9780060786717,eng,352,1/3/2006,1,0
207,Long Way Round: Chasing Shadows Across the World,9780743499347,en-US,320,11/1/2005,20,9
208,A Shadow in Summer (Long Price Quartet  #1),9780765313409,eng,331,3/7/2006,6,3
213,New Hope for the Dead (Hoke Mosely #2),9781400032495,eng,244,8/10/2004,20,2
214,Sideswipe: A Hoke Moseley Novel,9781400032488,eng,215,3/8/2005,2,1
216,Miami Blues (Hoke Moseley #1),9781400032464,eng,191,8/10/2004,17,10
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),9780679732525,eng,144,10/3/1990,17,14
231,I am Charlotte Simmons,9780312424442,eng,738,8/30/2005,17,4
237,Poetry for Young People: Edward Lear,9780806930770,eng,48,10/1/2001,2,1
244,The Puffin Book of Nonsense Verse,9780140366600,eng,287,10/3/1996,3,0
245,Henry Miller on Writing,9780811201124,eng,217,2/1/1964,16,4
247,Quiet Days in Clichy,9780802130167,eng,154,1/13/1994,9,3
249,Tropic of Cancer,9780802131782,eng,318,1/6/1994,11,8
250,Tropic of Capricorn,9780802151827,eng,348,1/13/1994,11,6
251,Nexus (The Rosy Crucifixion  #3),9780802151780,eng,316,1/13/1994,16,10
252,Sexus (The Rosy Crucifixion  #1),9780802151803,eng,506,1/12/1994,10,1
253,The Air-Conditioned Nightmare,9780811201063,eng,292,1/17/1970,10,2
264,The Portrait of a Lady,9780141439631,eng,797,9/30/2003,4,4
269,The Portrait of a Lady,9781593080969,eng,635,1/16/2004,4,3
277,Writing,9781571290533,eng,91,5/6/1999,1,0
278,The War,9781565842212,eng,192,8/1/1994,9,2
280,The Ravishing of Lol Stein,9780394743042,en-US,181,3/12/1986,12,2
285,Love Letters,9781851681822,eng,178,7/1/1999,4,2
288,Kahlil Gibran: His Life and World,9781566562492,eng,464,4/1/1998,10,6
289,The Beloved: Reflections on the Path of the Heart,9780140195538,eng,102,1/1/1998,11,6
290,Jesus the Son of Man,9780394431246,eng,216,2/21/1995,13,1
291,The Broken Wings,9780806501901,eng,132,3/3/2003,11,9
292,Sand and Foam,9780679439202,eng,100,6/14/2011,19,8
295,Treasure Island,9780753453803,eng,311,9/15/2001,15,14
296,Treasure Island,9781402714573,en-US,213,10/1/2004,16,6
297,Treasure Island,9781416500292,eng,245,6/1/2005,1,1
298,Treasure Island,9780689854682,eng,64,7/1/2003,4,0
299,Treasure Island,9780517221143,en-US,272,9/3/2002,11,4
302,Treasure Island (Great Illustrated Classics),9781577658054,eng,232,1/31/2006,13,10
313,100 Years of Lynchings,9780933121188,eng,270,11/22/1996,14,12
324,Cien años de soledad,9780785950103,spa,448,1/1/1990,20,14
330,On Beyond Zebra!,9780394800844,eng,64,9/12/1955,9,2
332,The Wedding Clause,9780821778258,eng,256,6/7/2005,13,1
333,The Zebra Wall,9780060733032,eng,147,2/15/2005,2,1
337,El perfume: Historia de un asesino,9788432216060,spa,239,6/1/2002,2,1
348,The Door Into Summer,9780345413994,eng,304,6/17/1997,4,0
350,Stranger in a Strange Land,9780441788385,eng,528,10/1/1991,5,1
354,To Sail Beyond the Sunset,9780441748600,en-US,434,6/1/1988,6,0
355,Job: A Comedy of Justice,9780345316509,en-US,439,10/12/1985,2,2
356,Time for the Stars (Heinlein's Juveniles  #10),9780765314932,eng,256,8/8/2006,15,5
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),9780671742515,en-US,307,2/15/1991,20,1
359,The Salmon of Doubt (Dirk Gently  #3),9780345455291,eng,298,4/26/2005,11,11
362,Wish You Were Here: The Official Biography of Douglas Adams,9780345476517,eng,368,12/27/2005,18,3
367,Douglas Adams's Starship Titanic,9780345368430,eng,256,10/27/1998,13,0
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,9781417622856,eng,336,7/1/2003,13,10
382,The Phantom Tollbooth: A Children's Play in Two Acts,9780573650963,eng,72,1/12/2011,5,1
385,On Bullshit,9780691122946,eng,67,1/30/2005,20,6
386,Another Bullshit Night in Suck City,9780393329407,eng,347,9/12/2005,1,1
394,Lincoln at Gettysburg: The Words That Remade America,9780671867423,en-US,317,6/12/1993,17,3
397,The Gettysburg Address,9780395883976,eng,32,2/2/1998,10,2
399,Underworld,9780684848150,eng,827,7/9/1998,1,1
400,Libra,9780140156041,eng,480,5/1/1991,2,1
403,Americana,9780140119480,eng,377,7/6/1989,15,4
404,Running Dog,9780679722946,eng,256,7/17/1989,1,0
406,Cosmopolis,9780743244251,eng,224,4/6/2004,8,4
407,Great Jones Street,9780140179170,eng,272,1/1/1994,7,4
408,The Names,9780679722953,eng,339,7/17/1989,2,1
409,Against the Day,9781594201202,eng,1085,11/21/2006,10,2
410,V.,9780060930219,eng,547,7/5/2005,8,4
411,The Crying of Lot 49,9780060931674,eng,152,4/1/1999,20,12
412,Gravity's Rainbow,9780140283389,eng,784,1/1/2000,20,9
413,Mason & Dixon,9780312423209,eng,773,1/3/2004,14,13
414,Vineland,9780141180632,en-US,385,9/1/1997,7,4
415,Gravity's Rainbow,9780143039945,eng,776,10/31/2006,20,20
416,Slow Learner: Early Stories,9780316724432,eng,193,4/30/1985,19,3
418,Been Down So Long It Looks Like Up To Me,9780140189308,eng,352,8/29/1996,13,9
420,The Year of Magical Thinking,9781400043149,en-US,227,10/4/2005,11,9
421,The White Album,9780374522216,eng,222,10/1/1990,20,13
422,A Book of Common Prayer,9780679754862,eng,272,4/11/1995,9,8
423,Where I Was From,9780679752868,eng,240,9/14/2004,7,2
424,Slouching Towards Bethlehem,9780374521721,eng,238,10/1/1990,9,0
425,Democracy,9780679754855,en-US,234,4/25/1995,19,6
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,9780307264879,eng,1122,10/17/2006,9,0
428,Play It As It Lays,9780374529949,eng,231,11/15/2005,5,5
431,The New York Trilogy,9780143039839,eng,308,3/28/2006,15,15
432,City of Glass (The New York Trilogy  #1),9780140097313,eng,203,4/7/1987,7,5
434,Ghosts (The New York Trilogy  #2),9780140097351,eng,96,7/7/1987,16,5
435,The Locked Room (The New York Trilogy  #3),9780940650763,eng,179,11/1/1986,15,3
444,Pyramids of Montauk: Explorations in Consciousness,9780963188922,eng,256,1/1/1995,18,12
446,The Brooklyn Follies,9780312426231,eng,306,10/17/2006,9,8
447,Moon Palace,9780140115857,eng,320,4/1/1990,20,15
453,The Music of Chance,9780140154078,en-US,217,12/1/1991,2,1
454,Travels in the Scriptorium,9780805081459,eng,145,1/23/2007,18,5
456,Leviathan,9780140178135,eng,275,9/1/1993,11,1
463,The Red Notebook: True Stories,9780811214988,eng,104,6/17/2002,13,10
466,Timbuktu / Leviathan / Moon Palace,9782742741465,fre,1075,11/7/2002,4,4
475,Collapse: How Societies Choose to Fail or Succeed,9780143036555,eng,608,12/27/2005,5,3
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,9780446579780,en-US,211,2/1/2006,7,1
477,Collapse of Complex Societies,9780521386739,eng,262,3/29/1990,8,8
478,Bowling Alone: The Collapse and Revival of American Community,9780743203043,eng,544,8/7/2001,16,2
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,9780345438713,eng,272,1/29/2002,16,8
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,9780393318289,eng,576,9/17/1998,8,1
493,My Inventions,9781599869940,eng,88,5/17/2006,10,7
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,9780806519609,eng,542,2/1/2001,13,6
497,Nikola Tesla: A Spark of Genius,9780822549208,eng,144,10/1/1994,1,0
498,Tesla Papers,9780932813862,eng,100,12/1/2000,8,2
511,Boys of Summer,9780373792689,eng,249,6/27/2006,9,5
515,Programming Ruby: The Pragmatic Programmers' Guide,9780974514055,en-US,828,10/11/2004,7,5
523,Golding's Lord of the Flies (Cliffs Notes),9780764585975,eng,112,6/13/2000,11,3
524,Lord of the Flies,9780307281708,eng,6,10/11/2005,1,0
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,9780812969702,eng,397,9/12/2006,16,7
534,We Were Not Like Other People,9780060255084,eng,216,1/1/1989,16,8
537,The Lovely Bones,9780330485388,en-GB,328,6/1/2003,19,1
538,The Lovely Bones,9781594130236,en-US,532,4/1/2004,1,1
539,Lovely in Her Bones (Elizabeth MacPherson  #2),9780345360359,eng,224,5/13/1990,5,5
565,The Zen of CSS Design: Visual Enlightenment for the Web,785342303476,en-US,296,2/17/2005,9,4
570,HTML  XHTML  and CSS (Visual Quickstart Guide),9780321430847,en-US,456,8/1/2006,10,7
576,1000 Record Covers,9783822840856,mul,575,5/15/2005,2,0
597,Killing Yourself to Live: 85% of a True Story,9780743264464,eng,245,6/13/2006,12,5
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,9780743236010,eng,272,7/2/2004,20,19
619,Vice (V  #8),9780553572490,eng,419,5/2/1996,3,3
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),9780060589462,eng,540,4/25/2006,6,4
639,Once Upon a Cool Motorcycle Dude,9780802789471,eng,32,4/1/2005,6,6
642,Guidebook to Zen and the Art of Motorcycle Maintenance,9780688060695,en-GB,408,11/19/1990,2,2
643,Motorcycle Basics Techbook,9781859605158,eng,222,7/5/2002,19,5
650,LOGO Lounge: 2 000 International Identities by Leading Designers,9781592530878,eng,191,9/1/2004,8,5
655,The Death of Ivan Ilych And Other Stories,9780451528803,eng,304,4/1/2003,6,0
656,War and Peace,9780192833983,eng,1392,6/25/1998,8,8
658,The Kingdom of God Is Within You,9780486451381,eng,352,9/8/2006,20,13
662,Atlas Shrugged,9780452011878,eng,1168,8/1/1999,4,1
663,For the New Intellectual: The Philosophy of Ayn Rand,9780451163080,eng,224,12/1/1963,14,11
664,The Fountainhead,9780452286757,en-US,752,4/26/2005,14,3
665,The Virtue of Selfishness: A New Concept of Egoism,9780451163936,eng,176,11/1/1964,16,4
667,Anthem,9780452281257,eng,105,12/1/1999,10,7
668,We the Living,9780451187840,eng,464,1/1/1996,9,1
669,Capitalism: The Unknown Ideal,9780451147950,eng,340,7/15/1986,15,0
670,Letters of Ayn Rand,9780452274044,eng,681,2/1/1997,11,9
672,Sailing for Dummies,9780471791430,eng,416,6/1/2006,8,7
675,Sailing from Byzantium: How a Lost Empire Shaped the World,9780553803815,eng,368,7/25/2006,7,0
676,Sailing Alone Around the Room: New and Selected Poems,9780375755194,eng,192,9/17/2002,4,4
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,9781592283194,eng,286,4/1/2004,4,2
681,"Natural Cures ""They"" Don't Want You to Know about",9780975599518,en-US,571,1/1/2004,20,5
685,The Natural,9780374502003,eng,231,7/7/2003,13,12
698,Digging to America,9780307263940,eng,277,5/2/2006,16,11
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,9780312405540,eng,826,1/21/2004,3,1
702,Modern Latin America,9780195170139,en-US,528,10/7/2004,20,13
703,The Plot Against America,9781400079490,eng,391,9/27/2005,20,11
707,Naked Pictures of Famous People,9780688171629,en-GB,164,9/22/1999,7,7
759,Collected Stories,9780060932688,eng,352,5/13/2008,2,1
762,Crónica de una muerte anunciada,9781400034956,spa,118,10/14/2003,1,1
763,Cien años de soledad,9780307350428,spa,496,2/7/2006,6,1
764,Del amor y otros demonios,9780307350442,spa,176,2/7/2006,7,2
765,Living to Tell the Tale,9781400034543,eng,533,10/12/2004,5,5
766,Memoria de mis putas tristes,9781400095803,spa,112,10/19/2004,13,2
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,9780375708114,eng,425,9/2/2004,4,1
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,9780861714926,eng,288,5/15/2005,5,1
787,The Mini Rough Guide to London,9781843535843,eng,363,4/1/2006,3,2
793,Best of London (Lonely Planet Best Of),9781740594776,eng,128,9/1/2004,5,4
797,Lonely Planet Londres,9788408064763,spa,480,5/1/2006,13,2
799,Out to Eat London 2002 (Lonely Planet Out to Eat),9781740592055,eng,295,9/1/2001,15,1
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,9780618710539,eng,287,4/4/2006,13,4
816,Cryptonomicon,9780060512804,eng,1139,11/1/2002,8,1
821,Le Réseau Kinakuta (Cryptonomicon  #2),9782228894166,fre,418,3/31/2001,2,2
822,The Confusion (The Baroque Cycle  #2),9780060733353,en-US,815,6/14/2005,6,2
823,Quicksilver (The Baroque Cycle  #1),9780060593087,eng,927,9/21/2004,14,12
824,The Cobweb,9780553383447,eng,448,5/31/2005,11,6
826,The Big U,9780380816033,en-US,308,2/6/2001,15,1
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,9780553380965,eng,499,5/2/2000,13,13
828,Interface,9780553383430,eng,640,5/31/2005,12,8
829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),9780060833183,en-US,464,3/28/2006,5,3
830,Snow Crash,9780553380958,eng,438,8/2/2000,19,12
834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,9781880685358,eng,450,6/1/2005,1,0
835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,9781880685334,eng,381,12/1/2004,19,11
840,The Design of Everyday Things,9780465067107,eng,240,9/19/2002,15,7
841,Emotional Design: Why We Love (or Hate) Everyday Things,9780465051366,eng,272,5/11/2005,12,5
842,The Psychology of Everyday Things,9780465067091,eng,257,6/13/1988,18,14
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,9780898709193,en-GB,259,4/30/2006,19,13
864,The Alchemist,9780060887964,eng,192,5/2/2006,8,0
865,The Alchemist,9780061122415,eng,197,5/1/1993,2,0
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),9781421504605,eng,192,9/19/2006,4,2
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),9781591169253,eng,192,9/13/2005,5,5
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),9781421504599,eng,192,7/18/2006,12,0
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),9781591169208,eng,192,5/3/2005,9,0
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),9781591169291,eng,200,11/8/2005,9,0
872,The Illustrated Alchemist: A Fable about Following Your Dream,9780060192501,en-US,198,11/1/1998,10,4
873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),9781591169239,eng,192,7/5/2005,13,12
880,Pompeii,9780812974614,eng,274,11/8/2005,1,0
888,The Last Days of Pompeii,9781587157394,eng,360,12/3/2002,8,0
890,Of Mice and Men,9780142000670,eng,103,1/8/2002,14,5
900,The Game: Penetrating the Secret Society of Pickup Artists,9780060554736,en-US,464,9/6/2005,18,11
902,The Westing Game,9780142401200,eng,182,4/12/2004,1,1
903,The Egypt Game,9780808553038,eng,215,7/7/2009,3,1
929,Memoirs of a Geisha,9781400096893,eng,503,11/22/2005,12,10
930,Memoirs of a Geisha,9780739326220,eng,434,11/15/2005,20,17
931,Memoirs of a Geisha,9780099498186,en-US,497,12/1/2005,18,4
932,Memoirs of a Geisha: A Portrait of the Film,9781557046833,eng,144,10/20/2005,4,0
933,Memoirs of a Geisha,9780099771517,eng,497,6/4/1998,14,5
935,Geisha of Gion,9780743430593,eng,334,5/6/2003,16,10
941,Love As A Foreign Language #5,9781932664393,eng,58,2/1/2006,3,3
944,Jungle Love,9780521750844,eng,95,8/1/2002,20,0
955,The 5 Love Languages / The 5 Love Languages Journal,9780802415318,eng,0,1/1/2005,14,2
960,Angels & Demons (Robert Langdon  #1),9781416524793,eng,736,4/1/2006,12,10
965,Ángeles y demonios (Robert Langdon  #1),9788495618771,spa,508,12/1/2005,20,1
966,Angeles & Demonios,9780972859899,spa,18,12/1/2005,5,5
968,The Da Vinci Code (Robert Langdon  #2),9780307277671,eng,489,3/28/2006,2,2
969,The Da Vinci Code,9780767926034,eng,467,3/28/2006,3,0
972,Da Vinci Code (Robert Langdon  #2),9782266144346,fre,744,5/3/2005,11,4
975,Deception Point,9781416524809,eng,736,4/1/2006,3,1
977,Deception Point,9780552151764,eng,585,5/1/2004,10,7
980,Deception Point,9780593055076,eng,448,8/1/2005,7,4
987,A Killing Rain (Louis Kincaid  #6),9780786016068,eng,383,2/1/2005,3,1
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,9780671015206,eng,258,10/1/1998,5,0
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,9781585424337,eng,320,9/1/2005,3,2
1007,Think and Grow Rich,9781932429237,eng,368,8/7/2004,3,1
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),9780977616657,eng,256,6/7/2006,5,4
1022,Read My Lips: Sexual Subversion and the End of Gender,9781563410901,en-US,288,6/1/2005,18,11
1032,Trump: The Art of the Deal,9780345479174,en-US,384,12/28/2004,3,3
1052,The Richest Man in Babylon,9780451205360,eng,194,2/1/2008,16,2
1053,The Richest Man in Babylon,9781419349997,eng,4,6/17/2005,2,1
1059,Shibumi,9781400098033,eng,480,5/10/2005,8,3
1067,1776,9780743226721,eng,386,7/4/2006,8,1
1068,1776,9780140481396,eng,192,11/18/1976,16,12
1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,9780226014906,eng,284,7/15/2000,11,4
1078,The Good Earth (House of Earth  #1),9781416500186,eng,418,3/4/2009,14,1
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,9780310258971,eng,5,3/15/2005,13,11
1097,Fast Food Nation: The Dark Side of the All-American Meal,9780060838584,eng,399,7/5/2005,18,8
