id,book_id,borrower_id,date_borrow,date_due,date_return,fee
90,17881,45,2023-03-10,2023-04-21,2023-04-09,
91,38496,495,2023-01-21,2023-03-25,,17.40
92,32106,626,2023-07-20,2023-08-17,2023-08-02,
93,33024,767,2022-11-12,2023-01-21,2022-12-09,
94,3479,693,2023-04-17,2023-05-29,2023-05-07,
95,8908,519,2022-11-26,2022-12-17,2022-12-03,
96,13793,215,2023-07-17,2023-09-11,2023-07-17,
97,24603,364,2023-02-02,2023-04-27,2023-02-24,
98,39819,793,2023-04-23,2023-05-28,2023-05-14,
99,9622,276,2023-06-09,2023-08-18,2023-07-06,
100,9507,129,2023-07-08,2023-08-26,2023-07-24,
101,7351,544,2023-09-01,2023-11-10,2023-11-10,
102,24121,962,2023-05-26,2023-07-28,2023-06-06,
103,6670,856,2023-02-03,2023-03-31,2023-03-15,
104,27167,757,2023-09-10,2023-12-03,2023-10-27,
105,29965,221,2023-04-17,2023-06-26,,8.10
106,14812,48,2022-10-06,2022-11-10,2022-10-16,
107,22669,305,2022-12-16,2023-01-06,,25.20
108,12550,301,2023-01-25,2023-02-22,2023-01-31,
109,1506,855,2022-11-07,2022-12-26,2022-12-13,
110,9599,108,2022-11-07,2023-01-09,2022-12-26,
111,20800,152,2023-05-25,2023-07-06,2023-05-31,
112,35088,350,2023-01-19,2023-03-09,2023-02-10,
113,13042,477,2023-06-01,2023-06-22,2023-06-06,
114,15826,913,2022-12-15,2023-01-26,2023-01-17,
115,35061,785,2023-04-04,2023-06-27,2023-06-09,
116,19135,81,2023-05-27,2023-07-15,2023-07-10,
117,41505,561,2023-05-20,2023-07-15,2023-06-03,
118,19433,322,2022-11-12,2022-12-31,2022-11-21,
119,8643,743,2023-09-12,2023-10-24,2023-09-15,
120,41544,907,2022-12-17,2023-02-18,2023-01-08,
121,1206,873,2023-07-05,2023-08-23,2023-08-20,
122,23060,375,2023-04-28,2023-07-07,2023-06-10,
123,8537,788,2023-09-12,2023-11-07,2023-10-31,
124,2971,968,2023-01-26,2023-04-06,2023-02-18,
125,9786,22,2022-10-23,2022-12-18,2022-12-18,
126,44255,10,2022-09-23,2022-12-09,2022-09-29,
127,37186,454,2023-02-15,2023-03-22,2023-03-05,
128,3849,45,2023-04-28,2023-05-19,2023-05-14,
129,11780,807,2023-02-27,2023-03-20,2023-03-03,
130,9888,494,2022-12-18,2023-02-12,2023-02-08,
131,357,422,2023-05-16,2023-07-04,2023-06-28,
132,20097,665,2023-02-23,2023-03-23,2023-03-18,
133,37205,680,2022-12-15,2023-02-16,2023-01-18,
134,14930,114,2022-10-28,2022-11-25,2022-10-30,
135,25639,732,2023-01-23,2023-03-13,2023-02-08,
136,3478,102,2023-05-05,2023-07-28,2023-06-06,
137,34241,859,2023-06-07,2023-08-23,,2.30
138,38503,656,2023-02-28,2023-05-23,2023-05-03,
139,19983,192,2023-05-25,2023-08-10,2023-06-09,
140,28920,620,2023-01-04,2023-02-08,2023-01-30,
141,14841,345,2023-09-04,2023-11-27,2023-11-23,
142,13399,800,2023-04-25,2023-05-23,2023-05-09,
143,29320,857,2023-01-22,2023-02-26,2023-01-22,
144,21779,566,2022-09-27,2022-12-06,2022-10-20,
145,414,852,2023-08-15,2023-09-26,2023-08-28,
146,25344,232,2022-10-02,2022-12-25,2022-11-27,
147,37902,412,2023-07-24,2023-10-09,2023-07-30,
148,40877,322,2023-04-18,2023-07-04,2023-06-18,
149,7841,870,2022-10-13,2022-11-17,2022-11-01,
150,32691,959,2023-06-12,2023-09-04,2023-08-03,
151,7351,582,2022-11-21,2023-01-23,2023-01-10,
152,17118,748,2023-04-25,2023-05-30,2023-05-15,
153,18929,710,2023-07-14,2023-08-11,2023-07-26,
154,12618,336,2023-01-20,2023-03-03,2023-02-01,
155,13598,2,2022-12-17,2023-02-04,2023-02-17,1.30
156,1988,933,2023-02-03,2023-02-24,2023-02-10,
157,11466,657,2022-10-05,2022-11-16,2022-10-06,
158,15249,405,2022-12-06,2023-02-07,2023-01-05,
159,11604,133,2023-01-14,2023-03-11,2023-02-09,
160,28369,903,2023-03-27,2023-05-29,2023-04-24,
161,31623,451,2022-10-13,2022-12-29,2022-12-29,
162,4135,774,2023-05-07,2023-06-18,2023-05-20,
163,12954,182,2023-01-09,2023-03-27,2023-02-08,
164,3532,938,2023-03-31,2023-05-05,2023-04-28,
165,10967,792,2023-09-14,2023-11-02,2023-11-15,1.30
166,32929,887,2023-07-08,2023-09-23,2023-07-29,
167,22424,832,2023-03-05,2023-04-02,2023-03-22,
168,43343,496,2023-03-31,2023-06-16,2023-04-24,
169,15673,18,2023-02-01,2023-03-08,2023-02-18,
170,20962,500,2023-07-16,2023-09-17,2023-09-07,
171,23393,836,2023-01-20,2023-02-10,2023-02-06,
172,24283,673,2022-12-28,2023-02-01,2022-12-31,
173,36424,250,2022-11-20,2023-02-12,2022-12-15,
174,2373,398,2022-11-09,2023-01-18,2023-01-16,
175,3142,277,2023-02-27,2023-04-03,2023-04-02,
176,5419,530,2023-05-03,2023-05-31,2023-05-05,
177,7841,170,2023-05-04,2023-07-20,2023-06-25,
178,15148,615,2023-04-15,2023-06-10,2023-05-22,
179,40184,439,2022-09-24,2022-10-15,2022-10-12,
180,17152,971,2022-09-16,2022-10-07,2022-09-23,
181,33762,106,2023-03-30,2023-05-18,2023-05-02,
182,27247,557,2022-12-11,2023-01-22,2022-12-27,
183,32628,89,2022-09-28,2022-11-02,2022-10-25,
184,36319,420,2023-08-03,2023-09-07,2023-08-31,
185,787,415,2023-02-15,2023-04-26,2023-03-10,
186,16897,36,2022-10-20,2022-11-24,2022-10-25,
187,23319,685,2023-08-21,2023-09-11,2023-08-27,
188,43437,994,2022-12-11,2023-01-15,2022-12-31,
189,9282,325,2023-06-20,2023-07-11,2023-06-30,
190,11917,912,2022-12-24,2023-01-14,2023-01-13,
191,22967,729,2023-06-25,2023-09-03,2023-07-14,
192,2296,602,2023-08-29,2023-11-21,2023-09-19,
193,16982,87,2023-01-28,2023-03-25,2023-02-27,
194,6151,302,2023-01-02,2023-02-27,,20.00
195,33543,234,2022-10-18,2022-12-13,2022-11-13,
196,1972,371,2023-01-22,2023-02-26,2023-02-22,
197,18546,596,2023-08-07,2023-10-09,2023-09-13,
198,1568,357,2023-08-04,2023-09-22,2023-08-14,
199,24725,742,2023-02-02,2023-03-23,2023-03-08,
200,45092,510,2023-06-06,2023-06-27,,8.00
201,7501,863,2023-06-08,2023-08-03,2023-06-10,
202,45414,734,2022-10-08,2022-11-26,2022-10-30,
203,21320,27,2023-08-31,2023-10-19,2023-09-29,
204,3695,75,2023-02-07,2023-04-04,2023-03-26,
205,14712,730,2022-11-03,2022-12-29,2022-12-15,
206,40145,191,2023-08-24,2023-10-05,2023-09-25,
207,24565,570,2023-08-28,2023-10-23,2023-10-04,
208,12495,73,2023-04-16,2023-05-28,2023-05-08,
209,27586,569,2023-01-17,2023-02-07,2023-02-05,
210,1846,406,2023-01-04,2023-01-25,2023-01-18,
211,13993,512,2023-01-05,2023-02-16,2023-02-11,
212,29395,816,2023-06-27,2023-08-08,2023-08-05,
213,30639,660,2023-08-21,2023-10-30,2023-10-09,
214,15974,529,2022-12-26,2023-02-06,2023-01-07,
215,18140,607,2023-04-23,2023-06-11,2023-06-03,
216,39339,25,2023-08-27,2023-10-01,2023-09-06,
217,12828,406,2022-11-01,2022-11-29,2022-11-17,
218,40997,340,2023-09-03,2023-09-24,2023-09-18,
219,37053,366,2023-06-22,2023-08-17,2023-07-22,
220,45194,755,2023-03-06,2023-05-15,2023-03-13,
221,33057,669,2023-01-08,2023-01-29,2023-01-17,
222,34783,113,2022-10-29,2022-12-24,2022-11-23,
223,38471,140,2022-10-25,2022-12-06,2022-10-28,
224,39363,402,2022-09-19,2022-11-14,2022-09-20,
225,2823,293,2023-07-10,2023-09-18,2023-08-22,
226,6628,34,2023-05-05,2023-07-21,2023-07-02,
227,4606,944,2023-02-24,2023-05-19,2023-05-13,
228,3438,360,2023-07-17,2023-08-28,2023-08-16,
229,6899,549,2023-05-25,2023-07-27,2023-06-13,
230,15690,569,2023-08-21,2023-10-30,2023-09-02,
231,5171,657,2023-07-10,2023-09-18,2023-07-15,
232,24807,980,2022-10-03,2022-11-07,2022-10-10,
233,10585,407,2023-02-13,2023-03-27,2023-03-11,
234,29092,780,2022-10-03,2022-10-24,2022-10-16,
235,14866,183,2023-08-10,2023-09-07,2023-08-10,
236,15490,392,2023-08-14,2023-09-18,2023-09-16,
237,23686,934,2022-11-25,2023-02-10,2022-12-10,
238,33473,139,2022-12-22,2023-03-09,2023-03-09,
239,23226,641,2023-06-11,2023-09-03,2023-07-30,
240,29976,72,2023-06-26,2023-07-17,2023-07-02,
241,44595,282,2023-01-25,2023-04-05,2023-04-05,
242,5412,52,2023-03-03,2023-03-24,2023-03-04,
243,16940,268,2023-07-31,2023-09-18,2023-08-07,
244,5882,944,2023-08-21,2023-10-23,2023-10-04,
245,32827,66,2023-04-20,2023-06-29,2023-06-22,
246,37638,648,2022-09-30,2022-12-23,2022-11-29,
247,24956,425,2023-07-16,2023-09-24,2023-08-14,
248,14595,363,2023-07-09,2023-10-01,2023-08-17,
249,4248,547,2023-01-24,2023-03-14,2023-01-26,
250,7608,111,2023-07-12,2023-08-16,2023-08-04,
251,16989,175,2022-11-03,2023-01-26,2022-11-19,
252,19608,508,2023-03-31,2023-05-12,2023-04-03,
253,12505,107,2022-11-08,2022-12-13,2022-11-28,
254,31802,906,2023-07-20,2023-10-05,2023-10-05,
255,28028,518,2022-10-07,2022-11-18,2022-11-06,
256,16299,192,2023-06-19,2023-07-17,2023-06-24,
257,7668,494,2023-02-28,2023-03-21,2023-03-14,
258,39749,527,2023-07-21,2023-09-08,2023-08-02,
259,39774,741,2023-02-05,2023-04-16,2023-04-15,
260,30220,770,2022-11-21,2023-02-13,2023-01-20,
261,11701,517,2023-05-30,2023-08-08,2023-06-25,
262,17950,694,2023-06-09,2023-08-04,2023-06-10,
263,11619,166,2023-05-05,2023-06-09,2023-05-13,
264,10929,281,2023-04-30,2023-06-04,2023-06-01,
265,39799,713,2022-11-24,2022-12-29,2022-12-27,
266,43244,829,2022-10-10,2022-11-21,,29.80
267,13912,657,2023-05-15,2023-08-07,2023-06-04,
268,17275,428,2023-06-28,2023-08-09,2023-07-22,
269,39941,38,2023-09-05,2023-11-28,,
270,12317,737,2023-03-01,2023-04-26,,14.20
271,31465,52,2023-06-15,2023-08-24,2023-08-01,
272,19331,821,2022-12-08,2023-03-02,2022-12-29,
273,34460,791,2023-07-01,2023-07-22,2023-07-08,
274,6956,879,2023-07-31,2023-09-18,2023-08-09,
275,24066,208,2022-12-04,2022-12-25,,26.40
276,21352,693,2022-11-25,2022-12-30,2022-12-14,
277,22931,339,2023-08-30,2023-10-18,2023-10-13,
278,18667,270,2023-09-13,2023-11-08,2023-11-07,
279,3445,583,2022-10-02,2022-12-04,2022-10-21,
280,13807,964,2023-08-15,2023-10-31,2023-09-10,
281,39636,146,2023-07-27,2023-09-21,2023-08-14,
282,987,467,2023-04-22,2023-07-01,2023-05-08,
283,13442,412,2023-08-17,2023-10-19,2023-10-10,
284,7895,145,2023-08-19,2023-09-16,2023-08-27,
285,7961,509,2023-01-24,2023-02-14,2023-02-09,
286,1843,977,2022-11-24,2023-02-16,2023-01-15,
287,34881,815,2023-01-08,2023-01-29,2023-01-29,
288,43641,560,2022-09-17,2022-11-19,2022-10-15,
289,8834,985,2023-04-12,2023-05-10,2023-04-30,
290,43623,914,2023-08-01,2023-10-10,2023-09-10,
291,24704,798,2022-11-16,2022-12-28,2022-12-18,
292,10873,914,2023-01-07,2023-02-04,2023-01-27,
293,40051,585,2022-12-31,2023-01-21,2023-01-20,
294,2322,803,2023-08-16,2023-11-08,2023-10-20,
295,32428,978,2023-02-15,2023-04-05,2023-02-18,
296,19104,954,2022-12-28,2023-01-18,2023-01-17,
297,37785,643,2023-02-25,2023-05-13,2023-02-26,
298,7009,747,2022-12-19,2023-03-13,2023-03-02,
299,8282,61,2023-07-22,2023-10-07,2023-07-27,
300,43399,836,2023-07-07,2023-08-11,2023-07-21,
301,26071,124,2023-03-02,2023-04-06,2023-03-12,
302,15622,297,2022-12-24,2023-02-11,2023-01-06,
303,33672,580,2023-07-06,2023-07-27,2023-07-21,
304,18287,528,2023-05-14,2023-06-11,2023-06-24,1.30
305,42366,624,2022-12-24,2023-02-25,2023-02-23,
306,18802,549,2023-05-15,2023-07-31,2023-05-16,
307,28881,319,2023-01-09,2023-01-30,2023-01-10,
308,12967,439,2023-03-15,2023-05-17,2023-04-21,
309,33443,588,2023-03-01,2023-04-26,2023-04-20,
310,10108,376,2023-06-23,2023-09-08,2023-07-09,
311,14285,591,2023-03-31,2023-04-28,2023-04-04,
312,11669,234,2022-09-28,2022-11-09,2022-10-11,
313,45350,389,2023-04-05,2023-04-26,2023-04-14,
314,17437,459,2023-04-14,2023-06-16,,9.10
315,15881,8,2023-04-02,2023-05-28,2023-04-24,
316,25044,517,2022-10-12,2022-11-02,2022-10-15,
317,32966,676,2022-10-24,2023-01-02,2022-11-04,
318,44536,548,2022-11-12,2022-12-10,2022-12-10,
319,32680,827,2022-11-27,2022-12-18,2022-11-29,
320,39692,13,2023-05-17,2023-06-07,2023-05-27,
321,3849,115,2023-09-08,2023-10-27,2023-10-21,
322,32579,846,2023-04-08,2023-06-03,2023-04-26,
323,16312,115,2023-03-13,2023-05-08,2023-03-19,
324,5322,346,2022-09-19,2022-10-24,2022-10-16,
325,10324,469,2022-11-06,2022-12-25,2022-11-18,
326,23221,656,2023-06-18,2023-07-09,2023-06-19,
327,4898,277,2023-05-08,2023-07-31,2023-07-28,
328,2586,439,2022-11-16,2023-01-04,2022-12-16,
329,32552,783,2023-04-26,2023-06-28,2023-05-03,
330,31493,164,2023-06-10,2023-07-29,2023-06-23,
331,3835,830,2022-11-09,2023-01-04,2022-12-03,
332,8134,275,2022-11-12,2023-01-07,2023-01-04,
333,35552,764,2023-08-01,2023-10-03,2023-09-07,
334,30092,661,2023-07-25,2023-08-22,2023-09-04,1.30
335,21621,665,2023-04-02,2023-05-21,2023-04-10,
336,16729,845,2022-12-26,2023-03-13,2023-02-10,
337,32884,889,2023-05-18,2023-06-22,2023-05-18,
338,26046,838,2023-02-22,2023-05-03,2023-04-28,
339,4519,50,2022-12-22,2023-02-16,2023-01-31,
340,21338,479,2023-03-05,2023-03-26,2023-03-26,
341,33682,810,2023-04-19,2023-05-24,2023-05-04,
342,10655,769,2023-03-18,2023-05-06,,13.20
343,28028,911,2023-06-29,2023-07-20,2023-07-05,
344,38717,113,2023-04-23,2023-06-04,2023-05-27,
345,5526,397,2023-09-05,2023-09-26,2023-09-22,
346,18283,256,2023-01-03,2023-02-28,2023-01-30,
347,1067,130,2023-01-30,2023-04-03,2023-02-07,
348,28087,430,2023-02-26,2023-04-02,2023-04-01,
349,41085,195,2023-06-25,2023-08-27,2023-08-19,
350,36533,85,2022-12-05,2023-02-20,2023-02-09,
351,2778,635,2023-01-22,2023-03-05,2023-01-27,
352,3782,731,2023-04-08,2023-06-03,2023-04-08,
353,11824,494,2023-09-06,2023-09-27,2023-09-21,
354,9132,902,2023-07-27,2023-09-14,2023-09-09,
355,16330,333,2023-08-06,2023-09-24,2023-08-20,
356,40379,660,2022-10-06,2022-11-10,2022-10-11,
357,2473,39,2023-04-22,2023-05-13,2023-05-08,
358,11594,966,2023-05-17,2023-07-05,2023-06-11,
359,18723,505,2023-03-02,2023-04-20,2023-04-07,
360,22805,900,2022-10-20,2022-12-01,2022-11-07,
361,41093,591,2023-05-09,2023-07-04,2023-06-09,
362,31994,301,2023-01-04,2023-03-08,2023-01-05,
363,37,438,2023-03-02,2023-05-25,2023-03-20,
364,26023,225,2023-04-29,2023-06-24,2023-05-23,
365,9791,893,2023-06-28,2023-08-16,2023-08-15,
366,3873,634,2022-09-30,2022-12-09,2022-11-09,
367,9304,865,2022-12-12,2023-02-06,2022-12-17,
368,27943,42,2023-02-04,2023-03-04,2023-02-15,
369,5114,293,2022-12-26,2023-01-16,2023-01-15,
370,17098,973,2022-09-23,2022-10-28,2022-10-15,
371,18853,176,2023-05-26,2023-08-04,2023-08-03,
372,11702,439,2023-05-03,2023-06-21,2023-05-13,
373,8162,298,2022-09-16,2022-10-07,2022-09-22,
374,10972,545,2022-11-26,2022-12-31,2022-12-03,
375,12466,898,2023-08-10,2023-09-07,2023-08-31,
376,30985,109,2022-10-05,2022-12-28,2022-10-27,
377,7637,121,2023-08-14,2023-10-09,2023-09-21,
378,21621,997,2023-04-14,2023-06-23,2023-05-31,
379,40338,260,2022-10-12,2022-11-16,2022-11-07,
380,9681,8,2023-02-26,2023-04-02,2023-03-08,
381,43961,963,2023-05-22,2023-06-26,2023-06-21,
382,3142,335,2023-05-02,2023-05-30,2023-05-16,
383,20531,28,2023-07-23,2023-09-10,2023-08-09,
384,10332,193,2023-05-01,2023-05-29,2023-05-14,
385,25932,785,2023-04-06,2023-05-18,2023-05-13,
386,30122,550,2023-07-02,2023-08-06,2023-08-04,
387,35332,578,2023-05-13,2023-06-10,2023-06-03,
388,16527,37,2023-03-07,2023-05-30,2023-03-31,
389,32508,479,2022-12-02,2023-01-27,2023-01-02,
390,24089,154,2023-01-02,2023-03-13,,18.60
391,25491,760,2022-11-09,2022-12-28,2022-11-19,
392,33448,794,2023-07-10,2023-08-14,2023-07-20,
393,10711,206,2022-10-05,2022-12-07,2022-10-14,
394,13505,877,2023-07-11,2023-09-19,2023-07-11,
395,4695,133,2023-03-15,2023-05-24,2023-04-28,
396,22562,956,2023-04-20,2023-06-22,2023-06-08,
397,11430,799,2023-03-14,2023-04-25,2023-04-16,
398,34510,369,2022-10-22,2022-12-17,2022-11-26,
399,1531,586,2023-04-09,2023-05-21,2023-05-10,
400,44039,468,2023-09-12,2023-11-14,2023-10-22,
401,1319,194,2022-09-29,2022-12-08,2022-11-07,
402,5139,654,2023-04-07,2023-05-19,2023-04-22,
403,19390,643,2023-08-18,2023-09-15,2023-09-08,
404,16480,764,2023-02-27,2023-05-22,2023-05-14,
405,40378,614,2023-01-09,2023-03-27,2023-03-19,
406,2822,521,2023-01-31,2023-04-11,2023-02-05,
407,22278,360,2022-10-30,2022-12-04,2022-11-08,
408,32401,356,2023-08-03,2023-10-19,2023-10-17,
409,8818,415,2023-05-03,2023-06-21,2023-05-16,
410,28249,905,2023-05-29,2023-07-03,2023-06-30,
411,45114,56,2023-08-28,2023-10-30,2023-09-03,
412,41273,342,2023-08-14,2023-10-30,2023-10-04,
413,10880,20,2023-04-23,2023-07-16,2023-05-31,
414,44528,428,2023-04-18,2023-05-16,2023-05-13,
415,23944,121,2023-06-02,2023-07-28,2023-07-15,
416,42867,416,2023-08-17,2023-11-02,2023-10-17,
417,33734,614,2023-05-12,2023-08-04,2023-07-11,
418,28,277,2023-08-25,2023-11-03,2023-10-17,
419,3599,444,2023-07-29,2023-08-19,2023-07-31,
420,122,813,2023-03-19,2023-05-28,2023-04-10,
421,36450,503,2023-04-09,2023-05-07,2023-04-29,
422,39303,276,2022-12-14,2023-02-08,2023-02-21,1.30
423,34918,289,2023-01-14,2023-02-04,,22.30
424,10514,111,2023-02-17,2023-04-21,2023-03-12,
425,1891,253,2023-07-14,2023-08-18,2023-08-05,
426,34153,791,2022-09-24,2022-12-10,2022-10-20,
427,18395,790,2023-04-03,2023-06-19,2023-06-11,
428,13820,638,2023-09-06,2023-10-04,2023-09-15,
429,30355,130,2022-12-22,2023-02-09,2023-01-04,
430,2305,511,2023-02-27,2023-05-15,2023-04-16,
431,19564,896,2023-08-23,2023-11-08,2023-10-10,
432,43244,452,2023-01-04,2023-03-22,2023-03-18,
433,29566,189,2022-12-02,2022-12-23,2022-12-23,
434,40051,170,2023-01-02,2023-02-27,2023-01-23,
435,8290,563,2023-04-22,2023-07-08,2023-04-25,
436,38746,849,2023-04-09,2023-06-18,2023-05-26,
437,10915,599,2022-09-24,2022-12-17,2022-10-02,
438,7035,292,2023-02-17,2023-04-28,2023-03-04,
439,2560,688,2023-01-09,2023-03-27,2023-03-24,
440,29152,860,2023-03-26,2023-06-18,2023-04-05,
441,24521,792,2023-07-05,2023-09-20,2023-08-15,
442,11431,770,2023-07-28,2023-09-01,2023-08-15,
443,22499,606,2023-02-11,2023-05-06,2023-02-27,
444,8486,438,2023-05-15,2023-07-03,2023-06-24,
445,33729,63,2022-12-19,2023-01-09,2023-01-05,
446,6793,151,2022-10-03,2022-11-14,2022-10-03,
447,33807,523,2022-10-27,2022-12-22,2022-10-31,
448,34570,222,2022-11-15,2022-12-13,2022-11-27,
449,10147,947,2023-02-17,2023-03-17,2023-03-01,
450,34873,156,2023-05-10,2023-08-02,2023-07-06,
451,27054,750,2023-06-23,2023-09-01,2023-09-01,
452,6339,373,2023-03-26,2023-06-04,2023-06-04,
453,41416,369,2022-10-23,2023-01-15,2022-10-29,
454,31271,198,2023-01-06,2023-03-17,2023-01-11,
455,32124,926,2023-08-20,2023-11-12,2023-11-07,
456,42855,334,2022-09-20,2022-11-15,2022-11-28,1.30
457,28348,432,2023-05-13,2023-06-10,2023-06-02,
458,35888,352,2023-04-08,2023-06-17,2023-05-15,
459,17061,505,2023-08-24,2023-09-21,2023-09-15,
460,34529,489,2023-03-22,2023-06-14,,9.30
461,8813,573,2023-06-04,2023-07-09,2023-06-26,
462,27828,962,2022-10-05,2022-10-26,2022-10-05,
463,39636,680,2023-05-02,2023-06-13,2023-05-30,
464,2378,359,2023-05-06,2023-07-15,2023-06-20,
465,32750,578,2023-07-08,2023-09-02,2023-07-31,
466,29185,658,2023-02-16,2023-04-13,2023-02-21,
467,1371,977,2023-06-23,2023-08-11,2023-08-11,
468,24601,678,2022-12-20,2023-02-21,2023-01-02,
469,21931,159,2023-06-05,2023-08-21,2023-08-07,
470,42007,90,2023-09-06,2023-10-11,2023-09-28,
471,34852,1,2023-06-18,2023-07-30,2023-06-24,
472,19807,565,2023-05-26,2023-08-04,2023-06-15,
473,17313,120,2023-09-06,2023-10-25,2023-09-29,
474,3357,383,2023-07-18,2023-09-05,2023-07-31,
475,40473,646,2022-12-21,2023-01-11,2023-01-02,
476,2077,960,2022-12-08,2023-02-02,2023-01-09,
477,6298,413,2023-01-21,2023-03-04,2023-01-31,
478,1558,238,2023-02-18,2023-04-01,2023-02-24,
479,12398,287,2023-02-08,2023-03-22,2023-02-21,
480,25032,931,2023-04-21,2023-06-30,2023-05-02,
481,8829,933,2022-09-16,2022-11-18,2022-10-17,
482,3088,689,2023-02-28,2023-03-21,2023-03-12,
